paper_id,has_pdf,dataset;method,number_citations,booktitle,pdf_url,year,title,type,authors
conf_ercimdl_BiryukovD10,true,3;4,43,ECDL,http://arxiv.org/pdf/1012.5396v1,2010,'Analysis of computer science communities based on dblp',inproceedings,Maria Biryukov;Cailing Dong
conf_ercimdl_LundH08,false,3;6,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-87599-4_52,2008,'Gaze interaction and access to library collection',inproceedings,Haakon Lund;John Paulin Hansen
conf_ercimdl_MuresanH01,false,2;9,-1,ECDL,http://dx.doi.org/10.1007/3-540-44796-2_37,2001,'Document clustering and language models for system-mediated information access',inproceedings,Gheorghe Muresan;David J. Harper
conf_ercimdl_StrodlMR09,false,1;1,-1,ECDL,http://dx.doi.org/10.1007/978-3-642-04346-8_71,2009,'Hoppla - digital preservation support for small institutions',inproceedings,Stephan Strodl;Florian Motlik;Andreas Rauber
conf_ercimdl_SautterBPT07,false,4;4,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-74851-9_30,2007,'Empirical evaluation of semi-automated xml annotation of text documents with the goldengate editor',inproceedings,Guido Sautter;Klemens Böhm;Frank Padberg;Walter F. Tichy
conf_ercimdl_Abiteboul97,false,3;7,-1,ECDL,http://dx.doi.org/10.1007/BFb0026718,1997,'Object database support for digital libraries',inproceedings,Serge Abiteboul
conf_ercimdl_OkadaTA04,false,3;11,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-30230-8_46,2004,'Bibliographic component extraction using support vector machines and hidden markov models',inproceedings,Takashi Okada;Atsuhiro Takasu;Jun Adachi
conf_ercimdl_NiggemannH01,false,0;0,-1,ECDL,http://dx.doi.org/10.1007/3-540-44796-2_40,2001,"'Open archive initiative, publishers and scientific societies: future of publishing - next generation publishing models'",inproceedings,Elisabeth Niggemann;Matthias Hemmje
conf_ercimdl_YorkWC03,false,1;7,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-45175-4_18,2003,'Structure-aware query for digital libraries: use cases and challenges for the humanities',inproceedings,Christopher York;Clifford E. Wulfman;Gregory R. Crane
conf_ercimdl_StanescuBGSI08,false,0;0,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-87599-4_27,2008,'Access modalities to an imagistic library for medical e-learning',inproceedings,Liana Stanescu;Dumitru Dan Burdescu;Gabriel Mihai;Cosmin Stoica Spahiu;Anca Ion
conf_ercimdl_Strotgen02,false,2;8,-1,ECDL,http://dx.doi.org/10.1007/3-540-45747-X_27,2002,'Meta-data extraction and query translation. treatment of semantic heterogeneity',inproceedings,Robert Strötgen
conf_ercimdl_ShipmanCFFDBCHEG10,false,4;5,-1,ECDL,http://dx.doi.org/10.1007/978-3-642-15464-5_68,2010,'Ensemble: a distributed portal for the distributed community of computing education',inproceedings,Frank M. Shipman III;Lillian N. Cassel;Edward A. Fox;Richard Furuta;Lois M. L. Delcambre;Peter Brusilovsky;B. Stephen Carpenter II;Gregory W. Hislop;Stephen H. Edwards;Daniel D. Garcia
conf_ercimdl_Abramatic99,false,0;0,-1,ECDL,http://dx.doi.org/10.1007/3-540-48155-9_1,1999,'Challenges for the web: universality and scalability (abstract)',inproceedings,Jean-François Abramatic
conf_ercimdl_MatthesS99,false,6;11,-1,ECDL,http://dx.doi.org/10.1007/3-540-48155-9_25,1999,'Pia - a generic model and system for interactive product and service catalogs',inproceedings,Florian Matthes;Ulrike Steffens
conf_ercimdl_KampanyaSKNF04,false,1;11,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-30230-8_12,2004,'Citiviz: a visual user interface to the citidel system',inproceedings,Nithiwat Kampanya;Rao Shen;Seonho Kim;Chris North;Edward A. Fox
conf_ercimdl_VakkariT05,false,6;7,-1,ECDL,http://dx.doi.org/10.1007/11551362_19,2005,'The influence of the scatter of literature on the use of electronic resources across disciplines: a case study of finelib',inproceedings,Pertti Vakkari;Sanna Talja
conf_ercimdl_AhmadGS06,false,2;3,-1,ECDL,http://dx.doi.org/10.1007/11863878_46,2006,'Concept space interchange protocol: a protocol for concept map based resource discovery in educational digital libraries',inproceedings,Faisal Ahmad;Qianyi Gu;Tamara Sumner
conf_ercimdl_CanosCMVL10,false,1;3,-1,ECDL,http://dx.doi.org/10.1007/978-3-642-15464-5_73,2010,'A voice-oriented image cataloguing environment',inproceedings,José H. Canós;Carlos J. Castillo;Pablo Muñoz;Héctor Valero;Manuel Llavador
conf_ercimdl_DammKFC09,false,1;5,-1,ECDL,http://dx.doi.org/10.1007/978-3-642-04346-8_26,2009,'A concept for using combined multimodal queries in digital music libraries',inproceedings,David Damm;Frank Kurth;Christian Fremerey;Michael Clausen
conf_ercimdl_AgostiF03,false,2;4,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-45175-4_10,2003,'Annotations: enriching a digital library',inproceedings,Maristella Agosti;Nicola Ferro
conf_ercimdl_TozeT10,false,0;2,-1,ECDL,http://dx.doi.org/10.1007/978-3-642-15464-5_29,2010,'Examining group work: implications for the digital library as sharium',inproceedings,Sandra Toze;Elaine G. Toms
conf_ercimdl_AuffretB99,false,7;16,-1,ECDL,http://dx.doi.org/10.1007/3-540-48155-9_6,1999,'Audiovisual cultural heritage: from tv and radio archiving to hypermedia publishing',inproceedings,Gwendal Auffret;Bruno Bachimont
conf_ercimdl_Janssen05,false,3;4,-1,ECDL,http://dx.doi.org/10.1007/11551362_21,2005,'Readup: a widget for reading',inproceedings,William C. Janssen
conf_ercimdl_RauberF01,false,4;5,-1,ECDL,http://dx.doi.org/10.1007/3-540-44796-2_34,2001,'Automatically analyzing and organizing music archives',inproceedings,Andreas Rauber;Markus Frühwirth
conf_ercimdl_SfakakisK03,false,0;9,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-45175-4_27,2003,'An architecture for online information integration on concurrent resource access on a z39.50 environment',inproceedings,Michalis Sfakakis;Sarantos Kapidakis
conf_ercimdl_WangBKH04,false,2;4,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-30230-8_24,2004,'P-news: deeply personalized news dissemination for mpeg-7 based digital libraries',inproceedings,Qiuyue Wang;Wolf-Tilo Balke;Werner Kießling;Alfons Huhn
conf_ercimdl_Owen98,false,7;15,-1,ECDL,http://dx.doi.org/10.1007/3-540-49653-X_15,1998,'Parallel text alignment',inproceedings,Charles B. Owen
conf_ercimdl_Zamparelli98,false,0;0,-1,ECDL,http://dx.doi.org/10.1007/3-540-49653-X_38,1998,'Internet publications: pay-per-use or pay-per-subscription?',inproceedings,Roberto Zamparelli
conf_ercimdl_RodriguezLGM06,false,3;4,-1,ECDL,http://dx.doi.org/10.1007/11863878_65,2006,'The sinamed and isis projects: applying text mining techniques to improve access to a medical digital library',inproceedings,Manuel de Buenaga Rodríguez;Manuel J. Maña López;Diego Gachet;Jacinto Mata Vázquez
conf_ercimdl_ZervosPDDPPPKS98,false,0;0,-1,ECDL,http://dx.doi.org/10.1007/3-540-49653-X_63,1998,'Electronic roads in the information society',inproceedings,Costas Zervos;Stathis Panis;Dionysis Dionysiou;Michaelis Dionysiou;Constantinos S. Pattichis;Andreas Pitsillides;George A. Papadopoulos;Antonis C. Kakas;Christos Schizas
conf_ercimdl_SarnowskiK09,false,1;5,-1,ECDL,http://dx.doi.org/10.1007/978-3-642-04346-8_63,2009,"'Building standardized digital collections: rescarta tools, a demo'",inproceedings,John Sarnowski;Samuel Kessel
conf_ercimdl_JaczynskiT98,false,1;3,-1,ECDL,http://dx.doi.org/10.1007/3-540-49653-X_67,1998,"'Broadway, a case-based browsing advisor for the web'",inproceedings,Michel Jaczynski;Brigitte Trousse
conf_ercimdl_PonteC97,false,2;17,-1,ECDL,http://dx.doi.org/10.1007/BFb0026725,1997,'Text segmentation by topic',inproceedings,Jay M. Ponte;W. Bruce Croft
conf_ercimdl_ZimmerTW07,false,10;7,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-74851-9_13,2007,'Minervadl: an architecture for information retrieval and filtering in distributed digital libraries',inproceedings,Christian Zimmer;Christos Tryfonopoulos;Gerhard Weikum
conf_ercimdl_GwizdkaC07,false,0;4,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-74851-9_69,2007,"'Finding it on google, finding it on del.icio.us'",inproceedings,Jacek Gwizdka;Michael J. Cole
conf_ercimdl_HoareS10,false,0;1,-1,ECDL,http://dx.doi.org/10.1007/978-3-642-15464-5_22,2010,'Application of session analysis to search interface design',inproceedings,Cathal Hoare;Humphrey Sorensen
conf_ercimdl_CasarosaCTI08,false,1;1,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-87599-4_39,2008,'The web versus digital libraries: time to revisit this once hot topic',inproceedings,Vittore Casarosa;Jill Cousins;Anna Maria Tammaro;Yannis E. Ioannidis
conf_ercimdl_RatprasartpornO07,false,2;4,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-74851-9_23,2007,'Finding related papers in literature digital libraries',inproceedings,Nattakarn Ratprasartporn;Gultekin Özsoyoglu
conf_ercimdl_ChernichHD07,false,4;10,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-74851-9_15,2007,'Virgil - providing institutional access to a repository of access grid sessions',inproceedings,Ron Chernich;Jane Hunter;Alex Davies
conf_ercimdl_PesenhoferBR05,false,3;2,-1,ECDL,http://dx.doi.org/10.1007/11551362_70,2005,'Supporting ecdl'05 using tcereview',inproceedings,Andreas Pesenhofer;Helmut Berger;Andreas Rauber
conf_ercimdl_RehbergerFK06,false,2;5,-1,ECDL,http://dx.doi.org/10.1007/11863878_4,2006,"'Reevaluating access and preservation through secondary repositories: needs, promises, and challenges'",inproceedings,Dean Rehberger;Michael Fegan;Mark Kornbluh
conf_ercimdl_BorgmanALMSG07,false,3;3,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-74851-9_38,2007,'Digital libraries in central and eastern europe: infrastructure challenges for the new europe',inproceedings,Christine L. Borgman;Tatjana Aparac-Jelusic;Sonja Pigac Ljubi;Zinaida Manzuch;György Sebestyén;András Gábor
