paper_id,has_pdf,dataset;method,number_citations,booktitle,pdf_url,year,title,type,authors
conf_jcdl_ColemanBJ05,false,2;2,-1,JCDL,http://doi.acm.org/10.1145/1065385.1065475,2005,'Impact: the last frontier in digital library evaluation',inproceedings,Anita Coleman;Laura M. Bartolo;Casey Jones
conf_jcdl_SmithCA04,false,0;0,-1,JCDL,http://doi.acm.org/10.1145/996350.996484,2004,'Mobile image capture and management',inproceedings,Michael A. Smith;Andy Choi;Serge Aublant
conf_jcdl_PetinotGBTH04,false,1;4,-1,JCDL,http://doi.acm.org/10.1145/996350.996437,2004,'Enabling interoperability for autonomous digital libraries: an api to citeseer services',inproceedings,Yves Petinot;C. Lee Giles;Vivek Bhatnagar;Pradeep B. Teregowda;Hui Han
conf_jcdl_BeelLGM13,false,0;5,-1,JCDL,http://doi.acm.org/10.1145/2467696.2467789,2013,'Docear's pdf inspector: title extraction from pdf files',inproceedings,Jöran Beel;Stefan Langer;Marcel Genzmehr;Christoph Müller 0004
conf_jcdl_SchererLS13,false,0;0,-1,JCDL,http://doi.acm.org/10.1145/2467696.2467705,2013,'Visual-interactive querying for multivariate research data repositories using bag-of-words',inproceedings,Maximilian Scherer;Tatiana von Landesberger;Tobias Schreck
conf_jcdl_FoulonneauCHS05,false,3;12,-1,JCDL,http://doi.acm.org/10.1145/1065385.1065393,2005,'Using collection descriptions to enhance an aggregation of harvested item-level metadata',inproceedings,Muriel Foulonneau;Timothy W. Cole;Thomas G. Habing;Sarah L. Shreeves
conf_jcdl_CollinsDM08,false,0;2,-1,JCDL,http://doi.acm.org/10.1145/1378889.1378992,2008,'Isovera digital library',inproceedings,Cal Collins;Sergey Demidenko;Shakib Mostafa
conf_jcdl_ZhangNBWYX16,false,5;6,-1,JCDL,http://doi.acm.org/10.1145/2910896.2925436,2016,'Who are the rising stars in academia?',inproceedings,Jun Zhang;Zhaolong Ning;Xiaomei Bai;Wei Wang;Shuo Yu;Feng Xia
conf_jcdl_RudersdorfFG12,false,1;5,-1,JCDL,http://doi.acm.org/10.1145/2232817.2232898,2012,'Electronic records processing: it's a cinch!',inproceedings,Amy Rudersdorf;Dean Farrell;Lisa Gregory
conf_jcdl_Alemneh09,false,1;1,-1,JCDL,http://doi.acm.org/10.1145/1555400.1555461,2009,'Expanding the search for digital preservation solutions: adopting premis in cultural heritage institutions',inproceedings,Daniel Gelaw Alemneh
conf_jcdl_MenesesJFS15,false,2;2,-1,JCDL,http://doi.acm.org/10.1145/2756406.2756966,2015,'Grading degradation in an institutionally managed repository',inproceedings,Luis Meneses;Sampath Jayarathna;Richard Furuta;Frank Shipman
conf_jcdl_KrowneH05,false,5;5,-1,JCDL,http://doi.acm.org/10.1145/1065385.1065442,2005,'An initial evaluation of automated organization for digital library browsing',inproceedings,Aaron Krowne;Martin Halbert
conf_jcdl_HuangBPR09,false,0;1,-1,JCDL,http://doi.acm.org/10.1145/1555400.1555481,2009,'Remote usability testing: a practice',inproceedings,Sheng-Cheng Huang;Randolph G. Bias;Tanya L. Payne;Jay B. Rogers
conf_jcdl_BischoffFNP09,false,2;2,-1,JCDL,http://doi.acm.org/10.1145/1555400.1555448,2009,"'How do you feel about ""dancing queen""?: deriving mood & theme annotations from user tags'",inproceedings,Kerstin Bischoff;Claudiu S. Firan;Wolfgang Nejdl;Raluca Paiu
conf_jcdl_CabanacCFJKMW16,false,1;1,-1,JCDL,http://doi.acm.org/10.1145/2910896.2926734,2016,'Joint workshop on bibliometric-enhanced information retrieval and natural language processing for digital libraries (birndl 2016)',inproceedings,Guillaume Cabanac;Muthu Kumar Chandrasekaran;Ingo Frommholz;Kokil Jaidka;Min-Yen Kan;Philipp Mayr;Dietmar Wolfram
conf_jcdl_BrownB06,false,0;1,-1,JCDL,http://doi.acm.org/10.1145/1141753.1141840,2006,'Feasibility of developing curriculum standards metadata',inproceedings,Ron T. Brown;Sharon W. Bowers
conf_jcdl_LiewK08,false,1;9,-1,JCDL,http://doi.acm.org/10.1145/1378889.1378951,2008,'Slide image retrieval: a preliminary study',inproceedings,Guo Min Liew;Min-Yen Kan
conf_jcdl_FeiLFZ16,false,1;1,-1,JCDL,http://doi.acm.org/10.1145/2910896.2925462,2016,'Real-time filtering on interest profiles in twitter stream',inproceedings,Yue Fei;Chao Lv;Yansong Feng;Dongyan Zhao
conf_jcdl_Shah08,false,0;0,-1,JCDL,http://doi.acm.org/10.1145/1378889.1378980,2008,'Tubekit: a query-based youtube crawling toolkit',inproceedings,Chirag Shah
conf_jcdl_YuOD10,false,0;0,-1,JCDL,http://doi.acm.org/10.1145/1816123.1816205,2010,'Recommender system for mir research community',inproceedings,Yi Yu;Vincent Oria;J. Stephen Downie
conf_jcdl_DavisO05,false,1;8,-1,JCDL,http://doi.acm.org/10.1145/1065385.1065478,2005,'Teaching boxes and web services: optimizing the digital library for earth system education for the classroom',inproceedings,Lynne Davis;Shelley Olds
conf_jcdl_NodelmanAZ02,false,0;2,-1,JCDL,http://doi.acm.org/10.1145/544220.544327,2002,'Stanford encyclopedia of philosophy: a dynamic reference work',inproceedings,Uri Nodelman;Colin Allen;Edward N. Zalta
conf_jcdl_LiuT04,false,0;2,-1,JCDL,http://doi.acm.org/10.1145/996350.996414,2004,'Mediating team work for digital heritage archiving',inproceedings,Jyi-Shane Liu;Mu-Hsi Tseng
