paper_id,has_pdf,dataset;method,number_citations,booktitle,pdf_url,year,title,type,authors
conf_acl_Clark02,true,0;0,36,ACL,http://www.aclweb.org/anthology/P02-1065.pdf,2002,'Memory-based learning of morphology with stochastic transducers',inproceedings,Alexander Clark
conf_acl_HobbsCDEL86,true,0;0,122,ACL,http://aclweb.org/anthology-new/P/P86/P86-1035.pdf,1986,'Commonsense metaphysics and lexical semantics',inproceedings,Jerry R. Hobbs;William Croft;Todd R. Davies;Douglas Edwards;Kenneth Lawss
conf_acl_MaslennikovC07,true,0;0,47,ACL,http://aclweb.org/anthology-new/P/P07/P07-1075.pdf,2007,'A multi-resolution framework for information extraction from free text',inproceedings,Mstislav Maslennikov;Tat-Seng Chua
conf_acl_Kronfeld86,true,0;0,58,ACL,http://aclweb.org/anthology-new/P/P86/P86-1029.pdf,1986,'Donnellan's distinction and a computational model of reference',inproceedings,Amichai Kronfeld
conf_acl_GoldwaterG07,true,0;0,309,ACL,http://aclweb.org/anthology-new/P/P07/P07-1094.pdf,2007,'A fully bayesian approach to unsupervised part-of-speech tagging',inproceedings,Sharon Goldwater;Thomas L. Griffiths
conf_acl_PareschiS87,true,0;0,81,ACL,http://aclweb.org/anthology-new/P/P87/P87-1012.pdf,1987,'A lazy way to chart-parse with categorial grammars',inproceedings,Remo Pareschi;Mark Steedman
conf_acl_ByrdKAA86,true,0;0,31,ACL,http://aclweb.org/anthology-new/P/P86/P86-1019.pdf,1986,'Computer methods for morphological analysis',inproceedings,Roy J. Byrd;Judith L. Klavans;Mark Aronoff;Frank Anshen
conf_acl_Kwasny82,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P82/P82-1037.pdf,1982,'Ill-formed and non-standard language problems',inproceedings,Stanley C. Kwasny
conf_acl_Stallard86,true,0;0,31,ACL,http://aclweb.org/anthology-new/P/P86/P86-1036.pdf,1986,'A terminological simplification transformation for natural language question-answering systems',inproceedings,David Stallard
conf_acl_RostiMS07,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P07/P07-1040.pdf,2007,'Improved word-level system combination for machine translation',inproceedings,Antti-Veikko I. Rosti;Spyridon Matsoukas;Richard M. Schwartz
conf_acl_Sejnowski86,true,0;0,2,ACL,http://aclweb.org/anthology-new/P/P86/P86-1027.pdf,1986,'Language learning in massively-parallel networks',inproceedings,Terrence J. Sejnowski
conf_acl_Berwick81,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P81/P81-1002.pdf,1981,'Computational complexity and lexical funtional grammar',inproceedings,Robert C. Berwick
conf_acl_PonzettoS07,true,0;0,23,ACL,http://aclweb.org/anthology-new/P/P07/P07-2013.pdf,2007,'An api for measuring the relatedness of words in wikipedia',inproceedings,Simone Paolo Ponzetto;Michael Strube 0001
conf_acl_ChangRR07,true,0;0,182,ACL,http://aclweb.org/anthology-new/P/P07/P07-1036.pdf,2007,'Guiding semi-supervision with constraint-driven learning',inproceedings,Ming-Wei Chang;Lev-Arie Ratinov;Dan Roth
conf_acl_ClarkHS02,true,0;0,-1,ACL,http://www.aclweb.org/anthology/P02-1042.pdf,2002,'Building deep dependency structures using a wide-coverage ccg parser',inproceedings,Stephen Clark;Julia Hockenmaier;Mark Steedman
conf_acl_Chin83,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P83/P83-1024.pdf,1983,"'Knowledge structures in uc, the unix* consultant'",inproceedings,David N. Chin
conf_acl_Wilcock07,true,0;0,12,ACL,http://aclweb.org/anthology-new/P/P07/P07-2043.pdf,2007,'An owl ontology for hpsg',inproceedings,Graham Wilcock
conf_acl_RosenfeldF07,true,0;0,58,ACL,http://aclweb.org/anthology-new/P/P07/P07-1076.pdf,2007,'Using corpus statistics on entities to improve semi-supervised relation extraction from the web',inproceedings,Benjamin Rosenfeld;Ronen Feldman
conf_acl_Sabot86,true,0;0,6,ACL,http://aclweb.org/anthology-new/P/P86/P86-1020.pdf,1986,'Bulk processing of text on a massively parallel computer',inproceedings,Gary Sabot
conf_acl_EisensteinD07,true,0;0,11,ACL,http://aclweb.org/anthology-new/P/P07/P07-1045.pdf,2007,'Conditional modality fusion for coreference resolution',inproceedings,Jacob Eisenstein;Randall Davis
conf_acl_Hayashi07,true,0;0,6,ACL,http://aclweb.org/anthology-new/P/P07/P07-2037.pdf,2007,'A linguistic service ontology for language infrastructures',inproceedings,Yoshihiko Hayashi
conf_acl_Ng07,true,0;0,65,ACL,http://aclweb.org/anthology-new/P/P07/P07-1068.pdf,2007,'Semantic class induction and coreference resolution',inproceedings,Vincent Ng
conf_acl_ShapiroN82,true,0;0,15,ACL,http://aclweb.org/anthology-new/P/P82/P82-1031.pdf,1982,'A knowledge engineering approach to natural language understanding',inproceedings,Stuart C. Shapiro;Jeannette G. Neal
conf_acl_AyusoSW87,true,0;0,27,ACL,http://aclweb.org/anthology-new/P/P87/P87-1005.pdf,1987,'An environment for acquiring semantic information',inproceedings,Damaris M. Ayuso;Varda Shaked;Ralph M. Weischedel
conf_acl_Klenner07,true,0;0,6,ACL,http://aclweb.org/anthology-new/P/P07/P07-2051.pdf,2007,'Shallow dependency labeling',inproceedings,Manfred Klenner
