paper_id,has_pdf,dataset;method,number_citations,booktitle,pdf_url,year,title,type,authors
conf_esws_StenzhornSSR08,false,6;8,-1,ESWC,http://dx.doi.org/10.1007/978-3-540-68234-9_74,2008,'Simplifying access to large-scale health care and life sciences datasets',inproceedings,Holger Stenzhorn;Kavitha Srinivas;Matthias Samwald;Alan Ruttenberg
conf_esws_Carstens09,false,1;10,-1,ESWC,http://dx.doi.org/10.1007/978-3-642-02121-3_82,2009,'Effects of using a research context ontology for query expansion',inproceedings,Carola Carstens
conf_esws_Bontcheva05,false,3;8,-1,ESWC,http://dx.doi.org/10.1007/11431053_36,2005,'Generating tailored textual summaries from ontologies',inproceedings,Kalina Bontcheva
conf_esws_HurtadoPW09,false,2;4,-1,ESWC,http://dx.doi.org/10.1007/978-3-642-02121-3_22,2009,'Ranking approximate answers to semantic web queries',inproceedings,Carlos A. Hurtado;Alexandra Poulovassilis;Peter T. Wood
conf_esws_Adamou09,false,4;8,-1,ESWC,http://dx.doi.org/10.1007/978-3-642-02121-3_58,2009,'Sascha: supporting the italian public cooperation system with a rich internet application for semantic web services',inproceedings,Alessandro Adamou
conf_esws_WangXZY07,false,15;14,-1,ESWC,http://dx.doi.org/10.1007/978-3-540-72667-8_34,2007,'Panto: a portable natural language interface to ontologies',inproceedings,Chong Wang;Miao Xiong;Qi Zhou;Yong Yu
conf_esws_ZervakisTSK16,true,7;7,0,ESWC,http://arxiv.org/pdf/1307.2015v1,2016,'Full-text support for publish/subscribe ontology systems',inproceedings,Lefteris Zervakis;Christos Tryfonopoulos;Spiros Skiadopoulos;Manolis Koubarakis
conf_esws_JuppBS09,false,19;21,-1,ESWC,http://dx.doi.org/10.1007/978-3-642-02121-3_38,2009,'A flexible api and editor for skos',inproceedings,Simon Jupp;Sean Bechhofer;Robert Stevens
conf_esws_MunozPG07,false,2;3,-1,ESWC,http://dx.doi.org/10.1007/978-3-540-72667-8_6,2007,'Minimal deductive systems for rdf',inproceedings,Sergio Muñoz;Jorge Pérez 0001;Claudio Gutiérrez
conf_esws_Blanco-FernandezAGCN08,false,3;14,-1,ESWC,http://dx.doi.org/10.1007/978-3-540-68234-9_52,2008,'Semantic reasoning: a path to new possibilities of personalization',inproceedings,Yolanda Blanco-Fernández;José Juan Pazos-Arias;Alberto Gil-Solla;Manuel Ramos Cabrer;Martín López Nores
conf_esws_WeithonerLLBHN07,false,8;9,-1,ESWC,http://dx.doi.org/10.1007/978-3-540-72667-8_22,2007,'Real-world reasoning with owl',inproceedings,Timo Weithöner;Thorsten Liebig;Marko Luther;Sebastian Böhm;Friedrich W. von Henke;Olaf Noppens
conf_esws_TommasiniVBD16,false,2;8,-1,ESWC,http://dx.doi.org/10.1007/978-3-319-34129-3_16,2016,'Heaven: a framework for systematic comparative research approach for rsp engines',inproceedings,Riccardo Tommasini;Emanuele Della Valle;Marco Balduini;Daniele Dell'Aglio
conf_esws_AngeletouSM09,false,2;3,-1,ESWC,http://dx.doi.org/10.1007/978-3-642-02121-3_59,2009,'Folksonomy enrichment and search',inproceedings,Sofia Angeletou;Marta Sabou;Enrico Motta
conf_esws_ConroyBOL09,false,0;3,-1,ESWC,http://dx.doi.org/10.1007/978-3-642-02121-3_46,2009,'User evaluation study of a tagging approach to semantic mapping',inproceedings,Colm Conroy;Rob Brennan;Declan O'Sullivan;David Lewis
conf_esws_FaccaKT09,false,2;9,-1,ESWC,http://dx.doi.org/10.1007/978-3-642-02121-3_64,2009,'Wsmx 1.0: a further step toward a complete semantic execution environment',inproceedings,Federico Michele Facca;Srdjan Komazec;Ioan Toma
conf_esws_Stavrakantonakis13,false,0;1,-1,ESWC,http://dx.doi.org/10.1007/978-3-642-38288-8_53,2013,'Semantically assisted workflow patterns for the social web',inproceedings,Ioannis Stavrakantonakis
conf_esws_PaulheimHR13,false,1;3,-1,ESWC,http://dx.doi.org/10.1007/978-3-642-38288-8_3,2013,'Towards evaluating interactive ontology matching tools',inproceedings,Heiko Paulheim;Sven Hertling;Dominique Ritze
conf_esws_TzitzikasTA08,false,1;5,-1,ESWC,http://dx.doi.org/10.1007/978-3-540-68234-9_51,2008,'On storage policies for semantic web repositories that support versioning',inproceedings,Yannis Tzitzikas;Yannis Theoharis;Dimitris Andreou
conf_esws_EtcheverryV12,false,3;4,-1,ESWC,http://dx.doi.org/10.1007/978-3-642-30284-8_38,2012,'Enhancing olap analysis with web cubes',inproceedings,Lorena Etcheverry;Alejandro A. Vaisman
conf_esws_BurekG05,false,2;4,-1,ESWC,http://dx.doi.org/10.1007/11431053_26,2005,'Dually structured concepts in the semantic web: answer set programming approach',inproceedings,Patryk Burek;Rafal Grabos
conf_esws_HeppB07,false,3;5,-1,ESWC,http://dx.doi.org/10.1007/978-3-540-72667-8_11,2007,"'Gentax: a generic methodology for deriving owl and rdf-s ontologies from hierarchical classifications, thesauri, and inconsistent taxonomies'",inproceedings,Martin Hepp;Jos de Bruijn
conf_esws_SchaibleGS16,false,5;11,-1,ESWC,http://dx.doi.org/10.1007/978-3-319-34129-3_7,2016,'Termpicker: enabling the reuse of vocabulary terms by exploiting data from the linked open data cloud',inproceedings,Johann Schaible;Thomas Gottron;Ansgar Scherp
